date;T1;T2;T3;T4;T5;T6;T7;T8;T9
2016-01-11 17:00:00;19.89;19.2;19.79;19;17.1666666666667;7.02666666666667;17.2;18.2;17.0333333333333
2016-01-11 17:10:00;19.89;19.2;19.79;19;17.1666666666667;6.83333333333333;17.2;18.2;17.0666666666667
2016-01-11 17:20:00;19.89;19.2;19.79;18.9266666666667;17.1666666666667;6.56;17.2;18.2;17
2016-01-11 17:30:00;19.89;19.2;19.79;18.89;17.1666666666667;6.43333333333333;17.1333333333333;18.1;17
2016-01-11 17:40:00;19.89;19.2;19.79;18.89;17.2;6.36666666666667;17.2;18.1;17
2016-01-11 17:50:00;19.89;19.2;19.79;18.89;17.1333333333333;6.3;17.1333333333333;18.1;17
2016-01-11 18:00:00;19.89;19.2;19.79;18.89;17.1;6.26333333333333;17.1333333333333;18.1;17
2016-01-11 18:10:00;19.8566666666667;19.2;19.73;18.89;17.1;6.19;17.1;18.1;17
2016-01-11 18:20:00;19.79;19.2;19.73;18.89;17.1666666666667;6.12333333333333;17.1666666666667;18.1;17
2016-01-11 18:30:00;19.8566666666667;19.23;19.79;18.89;17.1;6.19;17.2;18.1;17
2016-01-11 18:40:00;19.9266666666667;19.3566666666667;19.79;18.89;17.1;6.19;17.2475;18.1;17
2016-01-11 18:50:00;20.0666666666667;19.4266666666667;19.79;19;17.1;6.12333333333333;17.53;18.0666666666667;16.89
2016-01-11 19:00:00;20.1333333333333;19.5666666666667;19.89;19;17.1;6.12333333333333;17.8233333333333;18.0666666666667;16.9633333333333
2016-01-11 19:10:00;20.26;19.73;19.89;19;17.1;6.0675;17.9633333333333;18.0333333333333;16.89
2016-01-11 19:20:00;20.4266666666667;19.8566666666667;20.0333333333333;19;17.1;5.9;17.9633333333333;18.1;16.89
2016-01-11 19:30:00;20.5666666666667;20.0333333333333;20.1;19;17.15;5.8;17.89;18.15;16.89
2016-01-11 19:40:00;20.73;20.1666666666667;20.2;18.9266666666667;17.1666666666667;5.72666666666667;17.76;18.23;16.89
2016-01-11 19:50:00;20.8566666666667;20.2;20.2;18.89;17.2;5.52666666666667;17.7;18.3566666666667;16.89
2016-01-11 20:00:00;20.89;20.2;20.2;18.9633333333333;17.2;5.33333333333333;17.6666666666667;18.5333333333333;16.89
2016-01-11 20:10:00;20.89;20.2;20.1666666666667;19.0333333333333;17.5933333333333;5.33333333333333;17.6;18.6666666666667;16.89
2016-01-11 20:20:00;20.89;20.2;20.1666666666667;19.175;18.0666666666667;5.46666666666667;17.6;18.73;16.89
2016-01-11 20:30:00;20.9633333333333;20.26;20.2;19.26;17.6666666666667;5.5;17.5333333333333;18.8566666666667;16.89
2016-01-11 20:40:00;21.0333333333333;20.29;20.26;19.3233333333333;17.6;5.56;17.6333333333333;18.89;16.89
2016-01-11 20:50:00;21.1;20.3566666666667;20.29;19.39;17.5666666666667;5.62333333333333;17.76;18.9633333333333;16.89
2016-01-11 21:00:00;21.1333333333333;20.4266666666667;20.29;19.39;17.76;5.76333333333333;17.8566666666667;19;16.89
2016-01-11 21:10:00;21.2;20.5;20.39;19.39;18.3566666666667;5.65666666666667;17.79;19.0666666666667;16.89
2016-01-11 21:20:00;21.29;20.5333333333333;20.39;19.39;18.3566666666667;5.53;17.89;19.1333333333333;16.89
2016-01-11 21:30:00;21.3566666666667;20.6666666666667;20.39;19.39;18.6;5.43333333333333;17.89;19.2;16.89
2016-01-11 21:40:00;21.39;20.7;20.39;19.4266666666667;18.6666666666667;5.5;17.89;19.23;16.89
2016-01-11 21:50:00;21.5;20.7;20.39;19.5666666666667;18.8233333333333;5.59;17.865;19.29;16.89
2016-01-11 22:00:00;21.5;20.79;20.39;19.6666666666667;18.9633333333333;5.59;17.79;19.29;16.8233333333333
2016-01-11 22:10:00;21.5333333333333;20.79;20.4266666666667;19.6;19.0333333333333;5.65666666666667;17.79;19.3566666666667;16.8233333333333
2016-01-11 22:20:00;21.6;20.89;20.5;19.6966666666667;19.1;5.83333333333333;17.79;19.39;16.89
2016-01-11 22:30:00;21.6;20.9633333333333;20.5;20.0966666666667;19.1583333333333;5.9;17.79;19.39;16.89
2016-01-11 22:40:00;21.6;21;20.5;20.5966666666667;19.2;6;17.79;19.34;16.8233333333333
2016-01-11 22:50:00;21.6;21;20.5;20.9966666666667;19.2225;6;17.7;19.29;16.89
2016-01-11 23:00:00;21.6;21;20.4175;21.1666666666667;19.29;5.96666666666667;17.7;19.3566666666667;16.89
2016-01-11 23:10:00;21.6;21;20.39;21.0333333333333;19.29;5.9;17.7;19.39;16.89
2016-01-11 23:20:00;21.6;21;20.29;20.9633333333333;19.29;5.76333333333333;17.7;19.39;16.89
2016-01-11 23:30:00;21.5;20.9266666666667;20.29;20.865;19.29;5.62333333333333;17.7;19.39;16.89
2016-01-11 23:40:00;21.5;20.89;20.29;20.73;19.29;5.59;17.7;19.39;16.89
2016-01-11 23:50:00;21.39;20.79;20.23;20.7;19.2;5.59;17.7;19.39;16.89
2016-01-12 00:00:00;21.39;20.79;20.2;20.6333333333333;19.2;5.59;17.7;19.39;16.89
2016-01-12 00:10:00;21.29;20.7;20.2;20.5666666666667;19.2;5.53;17.7;19.4633333333333;16.89
2016-01-12 00:20:00;21.29;20.6333333333333;20.1666666666667;20.5;19.2;5.53;17.76;19.39;16.89
2016-01-12 00:30:00;21.26;20.6;20.1;20.5;19.1666666666667;5.53;17.79;19.39;16.89
2016-01-12 00:40:00;21.2;20.6;20.1;20.4266666666667;19.1;5.4;17.79;19.39;16.89
2016-01-12 00:50:00;21.1666666666667;20.5;20.1;20.46;19.0666666666667;5.2;17.79;19.3566666666667;16.89
2016-01-12 01:00:00;21.075;20.5;20.1;20.7933333333333;19;4.86666666666667;17.79;19.29;16.89
2016-01-12 01:10:00;21;20.39;20.1;21.2633333333333;19;4.93333333333333;17.79;19.29;16.89
2016-01-12 01:20:00;21;20.39;20.1;21.5966666666667;19;5;17.79;19.23;16.89
2016-01-12 01:30:00;20.9266666666667;20.29;20.1666666666667;21.89;19;4.86666666666667;17.79;19.29;16.89
2016-01-12 01:40:00;20.89;20.23;20.1333333333333;21.8233333333333;18.9266666666667;4.72666666666667;17.79;19.29;16.89
2016-01-12 01:50:00;20.89;20.2;20.2;21.6666666666667;18.89;4.46666666666667;17.79;19.29;16.89
2016-01-12 02:00:00;20.79;20.2;20.1666666666667;21.5333333333333;18.89;4.33333333333333;17.79;19.2225;16.89
2016-01-12 02:10:00;20.79;20.1;20.125;21.3566666666667;18.89;4.15666666666667;17.79;19.2;16.9633333333333
2016-01-12 02:20:00;20.7;20.1;20.1333333333333;21.23;18.79;4.15666666666667;17.89;19.2;17
2016-01-12 02:30:00;20.7;20;20.2;21.0666666666667;18.79;4.33333333333333;17.89;19.2;17
2016-01-12 02:40:00;20.6;20;20.2;20.9266666666667;18.79;4.33333333333333;17.89;19.2;17
2016-01-12 02:50:00;20.6;20;20.2;20.745;18.73;4.19;17.8233333333333;19.1333333333333;17
2016-01-12 03:00:00;20.5666666666667;19.89;20.2;20.6666666666667;18.7;4.06333333333333;17.8566666666667;19.2;17
2016-01-12 03:10:00;20.5;19.8233333333333;20.29;20.5333333333333;18.7;3.86333333333333;17.8566666666667;19.2;17
2016-01-12 03:20:00;20.5;19.79;20.29;20.39;18.7;3.79;17.89;19.2;17
2016-01-12 03:30:00;20.4266666666667;19.79;20.2;20.39;18.6333333333333;3.895;17.89;19.2;17
2016-01-12 03:40:00;20.39;19.76;20.2;20.29;18.6;4.19;17.89;19.2;17.0666666666667
